draw,coefficient
322,-0.040778160418776285
323,-0.014159146264096808
324,-0.007883037750088983
325,-0.06612703263825878
326,0.01720761977861589
327,-0.022228830003420786
328,-0.018801648576484243
329,0.025712396691374095
330,0.0055590329825047705
331,-0.024921627888616057
332,-0.02691038955529028
333,-0.0296730424273855
334,-0.025413621947464684
335,-0.02753606612065963
336,-0.0250630911045658
337,0.04970653330688122
338,0.02313432308241322
339,-0.04705922548975616
340,0.042215475457703974
341,-0.05435924792925211
342,-0.04119583932743211
343,-0.07427986548599719
344,0.01302215277274869
345,-0.012586849187971939
346,0.030721826402907198
347,0.03727796759245224
348,-0.08962302254337656
349,0.022118910189187175
350,0.030399378160218486
351,-0.027364985087609556
352,0.02785379588856956
353,-0.05062221235558048
354,0.006298752612834642
355,-0.044547989622071335
356,-0.02533705439727824
357,0.03489898870506763
358,-0.04778130865660744
359,-0.05409437680419635
360,-0.05680724453495518
361,0.03484586565295853
362,-0.019418884952575273
363,0.00639059269876106
364,-0.01591223179493628
365,0.043283743701386025
366,-0.07671765035626271
367,-0.032960781211929184
368,0.03198064622639897
369,0.05081837058288244
370,-0.1091183298271212
371,0.018873636636998235
372,-0.05293250438904537
373,0.033511031294886626
374,0.022115228994682136
375,-0.027183417852734083
376,0.03682577325914685
377,0.011975285875569595
378,0.019934820037897757
379,-0.031855884632177
380,-0.015006586025623886
381,0.02472936079904645
382,-0.056113328991969226
383,0.02996358308700815
384,0.0300156765380817
385,-0.019548093142703934
386,-0.017477644273080004
387,0.056395624882480254
388,-0.03414794825556862
389,0.030572001147074992
390,0.029479716742956744
391,-0.03158773149118449
392,0.0013848478200757667
393,0.03331888216362633
394,-0.04065991064134815
395,-0.00666739985477418
396,-0.05771785060119425
397,0.014712101085862675
398,-0.04889568149905997
399,-0.02613721364890262
400,-0.08984149394792111
401,0.011321779747562611
402,-0.024958639651618663
403,-0.0326170645242851
404,0.030257314984659656
405,-0.01111855791421566
406,-0.04281540305560887
407,0.003205231377314711
408,-0.008992097944865494
409,-0.039068114084055555
410,-0.05555892302612636
411,0.049849956936381556
412,0.026474276832084306
413,0.039087638782847316
414,0.031535285469736246
415,-0.035433130283693264
416,0.036132204618346014
417,-0.027176927640804642
418,-0.018478116916091372
419,-0.05988856430567901
420,-0.02876388861367247
421,-0.0384774278931447
422,-0.04082515558537416
423,-0.023244108064112205
424,-0.013191931369444191
425,-0.06569186827107969
426,0.038443014345943854
427,-0.034489649375327745
428,-0.05403010868737689
429,-0.02187559118593075
430,0.03737581703689255
431,0.04480499272790701
432,0.026607340677806637
433,-0.05406710277100595
434,0.0060345716976478005
435,-0.06541311953944202
436,-0.022668507378366523
