draw,treated_pair_units,coefficient
387,14385,-0.0005222378383279574
388,14385,0.0021878567146736095
389,14385,-0.006628455063396341
390,14385,-0.0006866578007485564
391,14385,0.007403938281120137
392,14385,0.0017116057890415334
393,14385,0.0010595955932357177
394,14385,-0.0071330542584112765
395,14385,0.006338043352324543
396,14385,-0.0002330854906227688
397,14385,-0.00316996619868723
398,14385,-0.0037085833169615977
399,14385,0.005521613194098131
400,14385,-0.003345725468860971
401,14385,0.0020971422526484536
402,14385,0.005600988348370143
403,14385,9.575443421842497e-05
404,14385,-0.0034024220076266944
405,14385,0.002335267715464488
406,14385,-0.002364875348213959
407,14385,-0.00297719796688377
408,14385,-0.003243671699082669
409,14385,-0.0030849213905386427
410,14385,-0.0018886244225818853
411,14385,0.0003282102431578897
412,14385,0.0006343715524927934
413,14385,-0.002897822812611757
414,14385,0.000566335705973927
415,14385,-0.0013556769581840886
416,14385,0.006190632351533662
417,14385,0.0030439744500360263
418,14385,-0.0019283119997178912
419,14385,0.0013600872486940494
420,14385,0.005844783465062752
421,14385,0.005731390387531306
422,14385,-0.005846042828429362
423,14385,0.00882702140413979
424,14385,0.00039624608967675734
425,14385,0.004642816843229421
426,14385,0.0022218746379330423
427,14385,0.00041892470518304644
428,14385,0.0067972853163269014
429,14385,-0.006764526756434078
430,14385,-0.0010665246104789
431,14385,-0.000658309531365693
432,14385,0.007420947242749855
433,14385,0.005158755345997503
434,14385,0.0031800461430737652
435,14385,-0.0003351392604010725
436,14385,-0.005483184980328732
437,14385,-0.002625679426536287
438,14385,-0.000947461879070881
439,14385,-0.007082027373522126
440,14385,0.003452189529149235
441,14385,0.005187103615380365
442,14385,0.0030723227194188888
443,14385,0.00039624608967675685
444,14385,-0.0017638920372972963
445,14385,0.009093495136338687
446,14385,0.002431651831366218
447,14385,-0.005262068479142414
448,14385,-0.0018092492683098728
449,14385,0.004053172840065901
450,14385,-0.006951625334360963
451,14385,-0.0014010341891966661
452,14385,-0.0008907653403051586
453,14385,0.004733531305254578
454,14385,0.00307232271941889
455,14385,-0.0038843425871353406
456,14385,-0.0019056333842116034
457,14385,0.0011333010936311594
458,14385,-0.0014010341891966677
459,14385,0.009059477213079255
460,14385,0.0031346889120611853
461,14385,-0.0028694745432288954
462,14385,0.003231073027962913
463,14385,0.0036846453380887005
464,14385,-0.00302255519789635
465,14385,-0.002920501428118046
466,14385,-0.0027050545808082996
467,14385,0.004994335383576904
468,14385,-0.0029942069285134867
469,14385,-0.002954519351377482
470,14385,-0.008771584228740676
471,14385,-0.002364875348213959
472,14385,-0.009196808269483598
473,14385,-0.0020190264617430493
474,14385,0.0036789756842121276
475,14385,0.005992194465853633
476,14385,-0.006855241218459233
477,14385,0.0022218746379330427
478,14385,0.0013147300176814705
479,14385,-0.0021721071164105023
480,14385,-0.0028978228126117574
481,14385,-0.0025576435800174196
482,14385,0.00015812062686071995
483,14385,0.002856875872109142
484,14385,-0.000556255761587392
485,14385,-0.001043845994972611
486,14385,-0.0018659458070755966
487,14385,-0.005052291285709238
488,14385,-0.0020473747311259105
489,14385,-0.0009304529174411647
490,14385,0.0048412547289094525
491,14385,0.002664107640305682
492,14385,0.0038263866850030085
493,14385,0.004506745150191686
494,14385,-0.0015200969206046848
495,14385,-0.006917607411101529
496,14385,0.0020120974444998666
497,14385,-0.0030112158901432038
498,14385,-0.0012763018039120776
499,14385,-0.004825505130646345
