draw,trend_estimate,post_break_estimate
440,-0.015485269241353605,0.026817634813786566
441,0.012423426909607033,-0.024747802757351462
442,0.014495295050819784,-0.020328570620967615
443,0.0012944365072002466,0.005896479340396509
444,0.011142265298497572,-0.023729136281005026
445,-0.003235150201197877,-0.028210107702116197
446,0.016755228158804602,-0.046383704776618066
447,-0.0011046382191766992,0.013444633452424557
448,0.0002767858139852507,-0.00039949296188231034
449,0.001592255681276012,0.007909929510961505
450,0.00931377639627701,-0.005573110553016111
451,0.007137210775156385,-0.008054179115818752
452,0.02042414593013434,-0.028994747931257323
453,0.00924487900995607,-0.017562681383604308
454,-0.001649351036553399,0.006374725760327358
455,0.012413867807979779,-0.015912041391510763
456,0.016266547415846617,-0.017437629102345906
457,0.01422359145633129,-0.026412136653023208
458,0.005982614305712345,-0.019269046644187934
459,-0.008427647444325989,-0.00666605808349488
460,-0.0068162016998657695,0.017078800331742607
461,0.005537110075458937,-0.021210017021412828
462,0.0006748035788221393,-0.0018189432425446607
463,0.003956376298780186,-0.008353670365157634
464,0.0033349108224221546,0.004317655151062791
465,0.017933371924798016,-0.026407914862943027
466,-0.0006246206123406463,0.01726871787889011
467,0.0069664266049655164,-0.00514192363500756
468,0.00510014737646667,-0.03470422979341625
469,0.0011831402864051622,-0.002950005914511027
470,0.005982829132933305,-0.001617599871220475
471,0.01104370148705822,-0.0056327344124908335
472,0.003903261322251339,-0.011373088130416695
473,-0.003476845537592947,0.020586940586711143
474,0.017609019507812095,-0.01570669435164722
475,0.013891983311692516,-0.021740764259294235
476,0.00018157385010138423,0.008530381167756958
477,0.00382676448693918,0.017877544043508428
478,0.0012737997488888918,-0.006542658795076402
479,0.01315480141632933,-0.016565620756469418
480,0.0005350232193672318,0.014950045865679842
481,0.010766163534693498,-0.02599266336479105
482,0.0007134356610442212,-0.004864126040765482
483,0.009067521041176765,-0.004157476791900913
484,0.010638277903470269,-0.009657138472376203
485,0.0007680158738957582,0.005051594031190643
486,-0.008484748250235048,0.03097431703435735
487,0.00869184547588817,-0.0006161266514466274
488,0.012800896772308909,-0.02586715752753375
489,-0.010571651609852586,0.013531805826889856
490,0.008278185196663044,-0.03672222911668418
491,0.00302810260470311,-0.0016719372990253514
492,0.010665137681459044,-0.0427121757157638
493,0.004820753188317891,-0.02383922385124062
494,0.0017062147854053434,-0.009500166625195993
495,0.011574314114240898,-0.01866407084198963
496,-0.0033043791587822093,0.008695397855999364
497,0.0018849906760025452,0.007130411519663281
498,0.01171951379713716,-0.024180277525130967
499,0.007333874031470942,-0.0162408681282616
500,0.0003469047030241518,-0.00393856644480137
501,0.006817678716247996,-0.020423250548816444
502,0.014180344059725552,-0.012154853375818411
503,0.018002124873639537,-0.03199815725957332
504,0.00107153037264714,-0.021009600164010628
505,-0.00603765500455565,0.01465161601261247
506,-0.01165620650731429,0.010721826433227513
507,0.002189794767992952,-0.010480948446728785
508,0.00880894222767772,-0.019118637881354986
509,-0.005611535032073914,0.010364629453884344
510,0.012961535267630001,-0.048851628614715654
511,0.005469241260739848,-0.01686368695300751
512,-0.0024443288532487294,0.0017275923450025162
513,0.008368468286739983,-0.01929802217370899
514,-0.009379596859114991,0.024467835401718173
515,0.003689334554323064,-0.02041621687497653
516,0.002411091024224192,-0.008355612931828986
517,0.005981922562049078,-0.01445167320920997
518,-0.009379525511022476,0.014736144006316051
519,0.0004586495094135081,-0.009291906844563828
520,0.005249460472595736,-0.004910628377828179
521,-0.003017538126157569,-0.004335442577490509
522,0.007632839572638237,-0.02792576419328219
523,-0.00488764358724585,0.0006367816071290791
524,0.015003507210483581,-0.008968112207838552
525,0.006963820295161097,-0.012809774220278805
526,-0.002736786311907909,0.017522003200698938
527,-0.003311360952759532,-0.004367280240696748
528,-0.0020487935584461202,0.009859699777112476
529,-0.0032250566603064974,-0.003293687177181613
530,-0.0026717297784933786,-0.004533517388696562
531,2.9421197678401387e-05,0.00555940915832211
532,0.007433417220969267,-0.01777765168750267
533,-0.010019144214870341,0.0069454673975174325
534,-0.008362156879807608,0.023593575986956453
535,0.004695402963913409,0.01758810298895601
536,0.007530119693121996,-0.020421622758566037
537,-0.0005252265803503582,-0.020492873872838158
538,0.006048448645953566,-0.025107861911263896
539,0.012562346389413611,-0.01741825395866165
540,-0.002014743458486635,0.00755096437139369
541,0.006143820603171752,-0.02416151632284852
542,0.004314723415011174,0.01427873697036082
543,0.019130402500919085,-0.04314680420625219
544,0.0006299023689149627,0.03459489291714499
545,0.001469313983826357,-0.01814435846589743
546,0.007089371217289423,0.006478937708550708
547,0.0024383729135781856,-0.011752668570555907
548,0.004607178301480511,0.00787089721723093
549,0.010794549510291181,-0.01201924991822477
550,0.0043504159961239896,-0.00784189190453931
551,0.011864304127756416,-0.038829032471312586
552,0.012797248788787652,-0.02676246109328213
553,-0.002494965124981676,-0.003148758292472492
