NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2020,030344,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030345,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030346,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030349,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030351,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030353,      1.39,      1.39,      1.39,      1.39,0,0,1,0,1,1,U2 
H5,840,2020,030354,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030355,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030356,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030357,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030359,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030363,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030364,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030365,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030366,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030367,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030368,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030369,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030381,      0.59,      0.59,      0.59,      0.59,0,0,1,0,1,1,U2 
H5,840,2020,030382,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030383,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030384,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030389,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030391,     15.00,      0.00,     15.00,      7.50,0,1,0,1,2,2,U2 
H5,840,2020,030392,      0.11,      0.11,      0.11,      0.11,0,0,1,0,1,1,U2 
H5,840,2020,030399,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030431,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030432,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030433,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030439,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030441,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030442,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030443,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030444,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030445,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030446,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030447,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030448,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030449,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030451,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030452,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030453,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030454,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030455,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030456,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
