draw,beta,std_error,t_stat
270,0.0032298106009688017,0.004640096041209927,0.6960654633619638
271,-0.005645144648284588,0.0044170442136644535,-1.278036708534842
272,-0.00236009130211423,0.004678835718632747,-0.5044185015335177
273,0.0026776746074732055,0.004553420552083773,0.5880578296787954
274,0.005360371921034465,0.004456751598146707,1.2027531270227219
275,-0.003091211170398082,0.004662277690366998,-0.6630259662106811
276,0.005928737874090647,0.004535623845525608,1.307149374818493
277,-0.00347597618784796,0.004655310751467332,-0.746668992344356
278,0.0059585649237963514,0.004599407387554854,1.29550709944049
279,0.0021601547505005246,0.004667856403859621,0.4627723227977619
280,-0.005940809832668985,0.004314313385007597,-1.3770000698867924
281,-0.0023418198006360954,0.004655591208756326,-0.5030123341223678
282,0.002653994042786729,0.004631792158085915,0.57299506372572
283,0.007196567864309373,0.00442541482500601,1.6261905717052414
284,-0.0031783080323537615,0.0046654180836886916,-0.6812482772906917
285,-0.005578767965195416,0.004363099162935752,-1.2786250682970244
286,0.0029477715404748633,0.004658231107942435,0.632809208510247
287,-0.0019706736505680864,0.004664706156621283,-0.42246469218019833
288,0.005950024796078014,0.004433380143101847,1.3420966856036478
289,0.004823176669103902,0.004540247731072375,1.0623157490053303
290,-0.007177143106602472,0.004163525190215628,-1.7238140226625527
291,0.002416111181371027,0.0046769779308601395,0.5165966607258893
292,-0.003379093389515518,0.004617713571328033,-0.7317676458966047
293,0.007249140969500148,0.004132621094178472,1.7541266920676193
294,0.002623990302054043,0.0046181676199852795,0.5681886232753083
295,-0.0025441687305961277,0.004650011556192366,-0.5471317006100959
296,-4.52424660342374e-05,0.004754480679820129,-0.009515753471512478
297,-0.002757935555259985,0.004547544536875817,-0.6064669697890851
298,-0.005570531010869056,0.004532533284063107,-1.2290105029025742
299,-0.004715208499603439,0.00455123727524476,-1.036027834727615
300,-0.004990220769345305,0.004418922112121264,-1.129284617996988
301,-0.0023550174550581687,0.0046138220327709215,-0.5104265917347958
302,0.004633852324743831,0.004486355235561569,1.0328768190296458
303,-0.004892376276340387,0.004451976782191038,-1.0989222351542915
304,-0.0061415587157755535,0.0044899987383781315,-1.3678308332874933
305,-0.004976550518144366,0.004427505418492019,-1.1240077758819205
306,-0.005131293097665867,0.004524139804924746,-1.1342030350344623
307,0.003851939609008626,0.00447098954170106,0.8615407334509428
308,-0.003277988602855732,0.0046660271715311865,-0.7025223991098275
309,-0.0009597135358337796,0.004718794763992236,-0.20338107161537886
310,0.0015907532816126465,0.0046480558331029155,0.3422405708389916
311,0.002589575815108666,0.0045839447162746355,0.5649230030883117
312,0.0056787868636091745,0.00442975626617696,1.2819637294650013
313,-0.0027159509944560747,0.004689044988198519,-0.5792119720095742
314,-0.002841459823131361,0.004543369703929441,-0.6254080139403705
315,0.0006197431764990325,0.004729639647789395,0.13103391011801432
316,-0.008303288094975981,0.004132539234286925,-2.009246040808303
317,0.006547108502415166,0.0041862409393035125,1.5639588349887104
318,0.008248694720083832,0.004399875007210955,1.8747566025319007
319,0.003809728080989748,0.0045440289515358235,0.8384031267455082
320,-0.007017088181843202,0.004219764024942118,-1.662910091741316
321,0.004360945605774414,0.004489907183220011,0.9712774513630124
322,-0.0032961633772362582,0.004548682365531065,-0.7246413603670976
323,-0.004383883366612086,0.004421510159357047,-0.9914900585119469
324,-0.004489441756251519,0.0046170341831145685,-0.9723648511571171
325,-0.0049698770579607926,0.004569832211095764,-1.0875403796869612
326,-0.0053146991023480935,0.004435588655486234,-1.1981947640195438
327,0.0028836585914888296,0.004652567411210777,0.6197994218289877
328,0.0041910413038675045,0.004588123122765084,0.9134544108183666
329,0.0012216561226500663,0.004688015208026531,0.2605913309663377
330,0.005382548069832416,0.00462323182240725,1.1642392760287328
331,0.005301307852050163,0.004465799054438488,1.1870905491775936
332,0.0024500315509547246,0.0047231212739124884,0.5187314508494917
333,-0.0045246659215264886,0.004500331373195219,-1.0054072792230835
334,0.0049066313676136095,0.004467327960210215,1.0983369502566636
335,0.001809731390671231,0.004687242324224423,0.3860972540972008
336,0.00038780527195484386,0.004758512619382602,0.08149716160785553
337,0.000721568667427849,0.004778311614834396,0.15100912740552955
338,0.0031327034794652753,0.004579648715429662,0.6840488592303232
339,0.0023815714737140396,0.004626424317621491,0.514775842034835
340,-0.0027398974898704036,0.004676079543171267,-0.5859390253255261
341,0.003788079770258396,0.004654326840204639,0.8138834895599734
342,0.004339127433084438,0.004556719575338677,0.9522480726196397
